offset,opcode,detection
5556,5556: SLOAD,Store read after unsafe call
5602,5602: SLOAD,Store read after unsafe call
5685,5685: SSTORE,Store write after unsafe call
5783,5783: SLOAD,Store read after unsafe call
5790,5790: SSTORE,Store write after unsafe call
5888,5888: SLOAD,Store read after unsafe call
5895,5895: SSTORE,Store write after unsafe call
5993,5993: SLOAD,Store read after unsafe call
6000,6000: SSTORE,Store write after unsafe call
6815,6815: SLOAD,Store read after unsafe call
6822,6822: SSTORE,Store write after unsafe call
6932,6932: SLOAD,Store read after unsafe call
6946,6946: SSTORE,Store write after unsafe call
8159,8159: SLOAD,Store read after unsafe call
8166,8166: SSTORE,Store write after unsafe call
8295,8295: SLOAD,Store read after unsafe call
8394,8394: SSTORE,Store write after unsafe call
8461,8461: SLOAD,Store read after unsafe call
8507,8507: SLOAD,Store read after unsafe call
8590,8590: SSTORE,Store write after unsafe call
8744,8744: SLOAD,Store read after unsafe call
8847,8847: SSTORE,Store write after unsafe call
8929,8929: SLOAD,Store read after unsafe call
8975,8975: SLOAD,Store read after unsafe call
9058,9058: SSTORE,Store write after unsafe call
9151,9151: SLOAD,Store read after unsafe call
9250,9250: SSTORE,Store write after unsafe call
9461,9461: SLOAD,Store read after unsafe call
9468,9468: SSTORE,Store write after unsafe call
9579,9579: SLOAD,Store read after unsafe call
9593,9593: SSTORE,Store write after unsafe call
9685,9685: SLOAD,Store read after unsafe call
9842,9842: SSTORE,Store write after unsafe call
9980,9980: SLOAD,Store read after unsafe call
10083,10083: SSTORE,Store write after unsafe call
10301,10301: SLOAD,Store read after unsafe call
10442,10442: SSTORE,Store write after unsafe call
11146,11146: SLOAD,Store read after unsafe call
11287,11287: SSTORE,Store write after unsafe call
11445,11445: SLOAD,Store read after unsafe call
11586,11586: SSTORE,Store write after unsafe call
11738,11738: SLOAD,Store read after unsafe call
11879,11879: SSTORE,Store write after unsafe call
12143,12143: SLOAD,Store read after unsafe call
12150,12150: SSTORE,Store write after unsafe call
12282,12282: SLOAD,Store read after unsafe call
12439,12439: SSTORE,Store write after unsafe call
12550,12550: SLOAD,Store read after unsafe call
12564,12564: SSTORE,Store write after unsafe call
12814,12814: SLOAD,Store read after unsafe call
12967,12967: SSTORE,Store write after unsafe call
13114,13114: SLOAD,Store read after unsafe call
13255,13255: SSTORE,Store write after unsafe call
13583,13583: SLOAD,Store read after unsafe call
13590,13590: SSTORE,Store write after unsafe call
13683,13683: SLOAD,Store read after unsafe call
13836,13836: SSTORE,Store write after unsafe call
14001,14001: SLOAD,Store read after unsafe call
14015,14015: SSTORE,Store write after unsafe call
14279,14279: SLOAD,Store read after unsafe call
14286,14286: SSTORE,Store write after unsafe call
14433,14433: SLOAD,Store read after unsafe call
14574,14574: SSTORE,Store write after unsafe call
15403,15403: SLOAD,Store read after unsafe call
15410,15410: SSTORE,Store write after unsafe call
15475,15475: SLOAD,Store read after unsafe call
15575,15575: SLOAD,Store read after unsafe call
15658,15658: SSTORE,Store write after unsafe call
15763,15763: SLOAD,Store read after unsafe call
15920,15920: SSTORE,Store write after unsafe call
16700,16700: SLOAD,Store read after unsafe call
16707,16707: SSTORE,Store write after unsafe call
16856,16856: SLOAD,Store read after unsafe call
16870,16870: SSTORE,Store write after unsafe call
17405,17405: SLOAD,Store read after unsafe call
17451,17451: SLOAD,Store read after unsafe call
17534,17534: SSTORE,Store write after unsafe call
17627,17627: SLOAD,Store read after unsafe call
17726,17726: SSTORE,Store write after unsafe call
17819,17819: SLOAD,Store read after unsafe call
17972,17972: SSTORE,Store write after unsafe call
18225,18225: SLOAD,Store read after unsafe call
18328,18328: SSTORE,Store write after unsafe call
18394,18394: SLOAD,Store read after unsafe call
18440,18440: SLOAD,Store read after unsafe call
18523,18523: SSTORE,Store write after unsafe call
18621,18621: SLOAD,Store read after unsafe call
18628,18628: SSTORE,Store write after unsafe call
