offset,opcode,detection
4282,4282: SLOAD,Store read after unsafe call
4289,4289: SSTORE,Store write after unsafe call
4387,4387: SLOAD,Store read after unsafe call
4394,4394: SSTORE,Store write after unsafe call
4567,4567: SLOAD,Store read after unsafe call
4574,4574: SSTORE,Store write after unsafe call
5440,5440: SLOAD,Store read after unsafe call
5447,5447: SSTORE,Store write after unsafe call
5532,5532: SLOAD,Store read after unsafe call
5577,5577: SLOAD,Store read after unsafe call
5660,5660: SSTORE,Store write after unsafe call
5759,5759: SLOAD,Store read after unsafe call
5862,5862: SSTORE,Store write after unsafe call
5928,5928: SLOAD,Store read after unsafe call
5974,5974: SLOAD,Store read after unsafe call
6057,6057: SSTORE,Store write after unsafe call
6150,6150: SLOAD,Store read after unsafe call
6249,6249: SSTORE,Store write after unsafe call
6360,6360: SLOAD,Store read after unsafe call
6374,6374: SSTORE,Store write after unsafe call
6466,6466: SLOAD,Store read after unsafe call
6623,6623: SSTORE,Store write after unsafe call
6717,6717: SLOAD,Store read after unsafe call
6820,6820: SSTORE,Store write after unsafe call
7453,7453: SLOAD,Store read after unsafe call
7594,7594: SSTORE,Store write after unsafe call
7740,7740: SLOAD,Store read after unsafe call
7881,7881: SSTORE,Store write after unsafe call
8027,8027: SLOAD,Store read after unsafe call
8168,8168: SSTORE,Store write after unsafe call
8432,8432: SLOAD,Store read after unsafe call
8439,8439: SSTORE,Store write after unsafe call
8571,8571: SLOAD,Store read after unsafe call
8728,8728: SSTORE,Store write after unsafe call
8839,8839: SLOAD,Store read after unsafe call
8853,8853: SSTORE,Store write after unsafe call
9103,9103: SLOAD,Store read after unsafe call
9256,9256: SSTORE,Store write after unsafe call
9403,9403: SLOAD,Store read after unsafe call
9544,9544: SSTORE,Store write after unsafe call
9755,9755: SLOAD,Store read after unsafe call
9762,9762: SSTORE,Store write after unsafe call
9881,9881: SLOAD,Store read after unsafe call
10034,10034: SSTORE,Store write after unsafe call
10199,10199: SLOAD,Store read after unsafe call
10213,10213: SSTORE,Store write after unsafe call
10477,10477: SLOAD,Store read after unsafe call
10484,10484: SSTORE,Store write after unsafe call
10631,10631: SLOAD,Store read after unsafe call
10772,10772: SSTORE,Store write after unsafe call
11264,11264: SLOAD,Store read after unsafe call
11271,11271: SSTORE,Store write after unsafe call
11336,11336: SLOAD,Store read after unsafe call
11436,11436: SLOAD,Store read after unsafe call
11519,11519: SSTORE,Store write after unsafe call
11644,11644: SLOAD,Store read after unsafe call
11801,11801: SSTORE,Store write after unsafe call
12575,12575: SLOAD,Store read after unsafe call
12582,12582: SSTORE,Store write after unsafe call
13195,13195: SLOAD,Store read after unsafe call
13241,13241: SLOAD,Store read after unsafe call
13324,13324: SSTORE,Store write after unsafe call
13442,13442: SLOAD,Store read after unsafe call
13595,13595: SSTORE,Store write after unsafe call
13865,13865: SLOAD,Store read after unsafe call
13879,13879: SSTORE,Store write after unsafe call
13945,13945: SLOAD,Store read after unsafe call
13991,13991: SLOAD,Store read after unsafe call
14074,14074: SSTORE,Store write after unsafe call
14172,14172: SLOAD,Store read after unsafe call
14179,14179: SSTORE,Store write after unsafe call
