offset,opcode,detection
2227,2227: SLOAD,Store read after unsafe call
2424,2424: SLOAD,Store read after unsafe call
2431,2431: SSTORE,Store write after unsafe call
2871,2871: SLOAD,Store read after unsafe call
2878,2878: SSTORE,Store write after unsafe call
3680,3680: SLOAD,Store read after unsafe call
3813,3813: SLOAD,Store read after unsafe call
3834,3834: SSTORE,Store write after unsafe call
3842,3842: SLOAD,Store read after unsafe call
3936,3936: SLOAD,Store read after unsafe call
3956,3956: SLOAD,Store read after unsafe call
3970,3970: SSTORE,Store write after unsafe call
3991,3991: SLOAD,Store read after unsafe call
4188,4188: SLOAD,Store read after unsafe call
4692,4692: SLOAD,Store read after unsafe call
4754,4754: SSTORE,Store write after unsafe call
5187,5187: SLOAD,Store read after unsafe call
5289,5289: SSTORE,Store write after unsafe call
5382,5382: SLOAD,Store read after unsafe call
5481,5481: SSTORE,Store write after unsafe call
5617,5617: SLOAD,Store read after unsafe call
5774,5774: SSTORE,Store write after unsafe call
7033,7033: SLOAD,Store read after unsafe call
7174,7174: SSTORE,Store write after unsafe call
7320,7320: SLOAD,Store read after unsafe call
7461,7461: SSTORE,Store write after unsafe call
7592,7592: SLOAD,Store read after unsafe call
7749,7749: SSTORE,Store write after unsafe call
7860,7860: SLOAD,Store read after unsafe call
7874,7874: SSTORE,Store write after unsafe call
8019,8019: SLOAD,Store read after unsafe call
8160,8160: SSTORE,Store write after unsafe call
8371,8371: SLOAD,Store read after unsafe call
8378,8378: SSTORE,Store write after unsafe call
8471,8471: SLOAD,Store read after unsafe call
8624,8624: SSTORE,Store write after unsafe call
8789,8789: SLOAD,Store read after unsafe call
8803,8803: SSTORE,Store write after unsafe call
8902,8902: SLOAD,Store read after unsafe call
9059,9059: SSTORE,Store write after unsafe call
9170,9170: SLOAD,Store read after unsafe call
9184,9184: SSTORE,Store write after unsafe call
9250,9250: SLOAD,Store read after unsafe call
9296,9296: SLOAD,Store read after unsafe call
9379,9379: SSTORE,Store write after unsafe call
