offset,opcode,detection
5161,5161: SLOAD,Store read after unsafe call
5168,5168: SSTORE,Store write after unsafe call
5266,5266: SLOAD,Store read after unsafe call
5273,5273: SSTORE,Store write after unsafe call
5483,5483: SLOAD,Store read after unsafe call
5490,5490: SSTORE,Store write after unsafe call
5714,5714: SLOAD,Store read after unsafe call
5852,5852: SLOAD,Store read after unsafe call
6047,6047: SLOAD,Store read after unsafe call
6150,6150: SSTORE,Store write after unsafe call
6216,6216: SLOAD,Store read after unsafe call
6262,6262: SLOAD,Store read after unsafe call
6345,6345: SSTORE,Store write after unsafe call
6438,6438: SLOAD,Store read after unsafe call
6537,6537: SSTORE,Store write after unsafe call
7435,7435: SLOAD,Store read after unsafe call
7488,7488: SLOAD,Store read after unsafe call
7577,7577: SLOAD,Store read after unsafe call
7667,7667: SLOAD,Store read after unsafe call
7693,7693: SLOAD,Store read after unsafe call
8026,8026: SLOAD,Store read after unsafe call
8055,8055: SLOAD,Store read after unsafe call
8291,8291: SLOAD,Store read after unsafe call
8305,8305: SSTORE,Store write after unsafe call
8740,8740: SLOAD,Store read after unsafe call
8897,8897: SSTORE,Store write after unsafe call
9043,9043: SLOAD,Store read after unsafe call
9184,9184: SSTORE,Store write after unsafe call
9330,9330: SLOAD,Store read after unsafe call
9471,9471: SSTORE,Store write after unsafe call
9617,9617: SLOAD,Store read after unsafe call
9758,9758: SSTORE,Store write after unsafe call
9889,9889: SLOAD,Store read after unsafe call
10046,10046: SSTORE,Store write after unsafe call
10157,10157: SLOAD,Store read after unsafe call
10171,10171: SSTORE,Store write after unsafe call
10316,10316: SLOAD,Store read after unsafe call
10457,10457: SSTORE,Store write after unsafe call
10668,10668: SLOAD,Store read after unsafe call
10675,10675: SSTORE,Store write after unsafe call
10768,10768: SLOAD,Store read after unsafe call
10921,10921: SSTORE,Store write after unsafe call
11086,11086: SLOAD,Store read after unsafe call
11100,11100: SSTORE,Store write after unsafe call
11399,11399: SLOAD,Store read after unsafe call
11498,11498: SLOAD,Store read after unsafe call
11581,11581: SSTORE,Store write after unsafe call
11784,11784: SLOAD,Store read after unsafe call
11941,11941: SSTORE,Store write after unsafe call
13253,13253: SLOAD,Store read after unsafe call
13267,13267: SSTORE,Store write after unsafe call
13333,13333: SLOAD,Store read after unsafe call
13379,13379: SLOAD,Store read after unsafe call
13462,13462: SSTORE,Store write after unsafe call
13560,13560: SLOAD,Store read after unsafe call
13567,13567: SSTORE,Store write after unsafe call
