offset,opcode,detection
2739,2739: SLOAD,Store read after unsafe call
2746,2746: SSTORE,Store write after unsafe call
2844,2844: SLOAD,Store read after unsafe call
2851,2851: SSTORE,Store write after unsafe call
2949,2949: SLOAD,Store read after unsafe call
2956,2956: SSTORE,Store write after unsafe call
3166,3166: SLOAD,Store read after unsafe call
3173,3173: SSTORE,Store write after unsafe call
3542,3542: SLOAD,Store read after unsafe call
3588,3588: SLOAD,Store read after unsafe call
3671,3671: SSTORE,Store write after unsafe call
3764,3764: SLOAD,Store read after unsafe call
3867,3867: SSTORE,Store write after unsafe call
3933,3933: SLOAD,Store read after unsafe call
3979,3979: SLOAD,Store read after unsafe call
4062,4062: SSTORE,Store write after unsafe call
4155,4155: SLOAD,Store read after unsafe call
4254,4254: SSTORE,Store write after unsafe call
4347,4347: SLOAD,Store read after unsafe call
4504,4504: SSTORE,Store write after unsafe call
4661,4661: SLOAD,Store read after unsafe call
4764,4764: SSTORE,Store write after unsafe call
4909,4909: SLOAD,Store read after unsafe call
5050,5050: SSTORE,Store write after unsafe call
5238,5238: SLOAD,Store read after unsafe call
5379,5379: SSTORE,Store write after unsafe call
5525,5525: SLOAD,Store read after unsafe call
5666,5666: SSTORE,Store write after unsafe call
5930,5930: SLOAD,Store read after unsafe call
5937,5937: SSTORE,Store write after unsafe call
6031,6031: SLOAD,Store read after unsafe call
6188,6188: SSTORE,Store write after unsafe call
6297,6297: SLOAD,Store read after unsafe call
6311,6311: SSTORE,Store write after unsafe call
6479,6479: SLOAD,Store read after unsafe call
6620,6620: SSTORE,Store write after unsafe call
6831,6831: SLOAD,Store read after unsafe call
6838,6838: SSTORE,Store write after unsafe call
6931,6931: SLOAD,Store read after unsafe call
7084,7084: SSTORE,Store write after unsafe call
7249,7249: SLOAD,Store read after unsafe call
7263,7263: SSTORE,Store write after unsafe call
7527,7527: SLOAD,Store read after unsafe call
7534,7534: SSTORE,Store write after unsafe call
7681,7681: SLOAD,Store read after unsafe call
7822,7822: SSTORE,Store write after unsafe call
7888,7888: SLOAD,Store read after unsafe call
7988,7988: SLOAD,Store read after unsafe call
8071,8071: SSTORE,Store write after unsafe call
8164,8164: SLOAD,Store read after unsafe call
8321,8321: SSTORE,Store write after unsafe call
8432,8432: SLOAD,Store read after unsafe call
8446,8446: SSTORE,Store write after unsafe call
8512,8512: SLOAD,Store read after unsafe call
8558,8558: SLOAD,Store read after unsafe call
8641,8641: SSTORE,Store write after unsafe call
9628,9628: SLOAD,Store read after unsafe call
9781,9781: SSTORE,Store write after unsafe call
9893,9893: SLOAD,Store read after unsafe call
9907,9907: SSTORE,Store write after unsafe call
9973,9973: SLOAD,Store read after unsafe call
10019,10019: SLOAD,Store read after unsafe call
10102,10102: SSTORE,Store write after unsafe call
10200,10200: SLOAD,Store read after unsafe call
10207,10207: SSTORE,Store write after unsafe call
