offset,opcode,detection
3264,3264: SLOAD,Store read after unsafe call
3271,3271: SSTORE,Store write after unsafe call
3369,3369: SLOAD,Store read after unsafe call
3376,3376: SSTORE,Store write after unsafe call
3565,3565: SLOAD,Store read after unsafe call
3572,3572: SSTORE,Store write after unsafe call
4465,4465: SLOAD,Store read after unsafe call
4472,4472: SSTORE,Store write after unsafe call
4558,4558: SLOAD,Store read after unsafe call
4604,4604: SLOAD,Store read after unsafe call
4687,4687: SSTORE,Store write after unsafe call
4780,4780: SLOAD,Store read after unsafe call
4883,4883: SSTORE,Store write after unsafe call
4949,4949: SLOAD,Store read after unsafe call
4995,4995: SLOAD,Store read after unsafe call
5078,5078: SSTORE,Store write after unsafe call
5171,5171: SLOAD,Store read after unsafe call
5270,5270: SSTORE,Store write after unsafe call
6020,6020: SLOAD,Store read after unsafe call
6177,6177: SSTORE,Store write after unsafe call
6271,6271: SLOAD,Store read after unsafe call
6374,6374: SSTORE,Store write after unsafe call
7007,7007: SLOAD,Store read after unsafe call
7148,7148: SSTORE,Store write after unsafe call
7294,7294: SLOAD,Store read after unsafe call
7435,7435: SSTORE,Store write after unsafe call
7581,7581: SLOAD,Store read after unsafe call
7722,7722: SSTORE,Store write after unsafe call
7984,7984: SLOAD,Store read after unsafe call
7991,7991: SSTORE,Store write after unsafe call
8141,8141: SLOAD,Store read after unsafe call
8155,8155: SSTORE,Store write after unsafe call
8405,8405: SLOAD,Store read after unsafe call
8558,8558: SSTORE,Store write after unsafe call
8705,8705: SLOAD,Store read after unsafe call
8846,8846: SSTORE,Store write after unsafe call
9057,9057: SLOAD,Store read after unsafe call
9064,9064: SSTORE,Store write after unsafe call
9157,9157: SLOAD,Store read after unsafe call
9310,9310: SSTORE,Store write after unsafe call
9475,9475: SLOAD,Store read after unsafe call
9489,9489: SSTORE,Store write after unsafe call
9753,9753: SLOAD,Store read after unsafe call
9760,9760: SSTORE,Store write after unsafe call
9907,9907: SLOAD,Store read after unsafe call
10048,10048: SSTORE,Store write after unsafe call
10525,10525: SLOAD,Store read after unsafe call
10625,10625: SLOAD,Store read after unsafe call
10708,10708: SSTORE,Store write after unsafe call
10801,10801: SLOAD,Store read after unsafe call
10958,10958: SSTORE,Store write after unsafe call
12178,12178: SLOAD,Store read after unsafe call
12192,12192: SSTORE,Store write after unsafe call
12721,12721: SLOAD,Store read after unsafe call
12767,12767: SLOAD,Store read after unsafe call
12850,12850: SSTORE,Store write after unsafe call
12942,12942: SLOAD,Store read after unsafe call
13095,13095: SSTORE,Store write after unsafe call
13365,13365: SLOAD,Store read after unsafe call
13379,13379: SSTORE,Store write after unsafe call
13445,13445: SLOAD,Store read after unsafe call
13491,13491: SLOAD,Store read after unsafe call
13574,13574: SSTORE,Store write after unsafe call
13672,13672: SLOAD,Store read after unsafe call
13679,13679: SSTORE,Store write after unsafe call
