offset,opcode,detection
1531,1531: SLOAD,Store read after unsafe call
2659,2659: SLOAD,Store read after unsafe call
2792,2792: SLOAD,Store read after unsafe call
2813,2813: SSTORE,Store write after unsafe call
2821,2821: SLOAD,Store read after unsafe call
2915,2915: SLOAD,Store read after unsafe call
2935,2935: SLOAD,Store read after unsafe call
2949,2949: SSTORE,Store write after unsafe call
2970,2970: SLOAD,Store read after unsafe call
3167,3167: SLOAD,Store read after unsafe call
3671,3671: SLOAD,Store read after unsafe call
3733,3733: SSTORE,Store write after unsafe call
