offset,opcode,detection
4142,4142: SLOAD,Store read after unsafe call
4239,4239: SSTORE,Store write after unsafe call
7106,7106: SSTORE,Store write after unsafe call
7341,7341: SLOAD,Store read after unsafe call
7923,7923: SLOAD,Store read after unsafe call
8064,8064: SSTORE,Store write after unsafe call
8227,8227: SLOAD,Store read after unsafe call
10053,10053: SSTORE,Store write after unsafe call
10411,10411: SLOAD,Store read after unsafe call
11192,11192: SSTORE,Store write after unsafe call
11356,11356: SLOAD,Store read after unsafe call
11924,11924: SLOAD,Store read after unsafe call
12014,12014: SSTORE,Store write after unsafe call
12091,12091: SLOAD,Store read after unsafe call
13030,13030: SLOAD,Store read after unsafe call
13135,13135: SLOAD,Store read after unsafe call
13324,13324: SLOAD,Store read after unsafe call
13478,13478: SLOAD,Store read after unsafe call
13619,13619: SSTORE,Store write after unsafe call
13767,13767: SLOAD,Store read after unsafe call
13908,13908: SSTORE,Store write after unsafe call
14072,14072: SLOAD,Store read after unsafe call
14157,14157: SLOAD,Store read after unsafe call
14247,14247: SSTORE,Store write after unsafe call
14404,14404: SLOAD,Store read after unsafe call
14545,14545: SSTORE,Store write after unsafe call
14702,14702: SLOAD,Store read after unsafe call
14843,14843: SSTORE,Store write after unsafe call
