offset,opcode,detection
4400,4400: SLOAD,Store read after unsafe call
4537,4537: SLOAD,Store read after unsafe call
5535,5535: SLOAD,Store read after unsafe call
5588,5588: SLOAD,Store read after unsafe call
5677,5677: SLOAD,Store read after unsafe call
5767,5767: SLOAD,Store read after unsafe call
5793,5793: SLOAD,Store read after unsafe call
6126,6126: SLOAD,Store read after unsafe call
6155,6155: SLOAD,Store read after unsafe call
6390,6390: SLOAD,Store read after unsafe call
6404,6404: SSTORE,Store write after unsafe call
