offset,opcode,detection
4206,4206: SLOAD,Store read after unsafe call
8713,8713: SSTORE,Store write after unsafe call
9695,9695: SLOAD,Store read after unsafe call
9775,9775: SSTORE,Store write after unsafe call
9844,9844: SLOAD,Store read after unsafe call
9924,9924: SSTORE,Store write after unsafe call
10520,10520: SLOAD,Store read after unsafe call
12569,12569: SSTORE,Store write after unsafe call
12638,12638: SLOAD,Store read after unsafe call
12718,12718: SSTORE,Store write after unsafe call
13320,13320: SLOAD,Store read after unsafe call
13339,13339: SSTORE,Store write after unsafe call
13408,13408: SLOAD,Store read after unsafe call
13488,13488: SSTORE,Store write after unsafe call
