offset,opcode,detection
4231,4231: SSTORE,Store write after unsafe call
4235,4235: SLOAD,Store read after unsafe call
4658,4658: SLOAD,Store read after unsafe call
4849,4849: SLOAD,Store read after unsafe call
5277,5277: SLOAD,Store read after unsafe call
6059,6059: SLOAD,Store read after unsafe call
7884,7884: SLOAD,Store read after unsafe call
8218,8218: SLOAD,Store read after unsafe call
8738,8738: SLOAD,Store read after unsafe call
8832,8832: SLOAD,Store read after unsafe call
9487,9487: SLOAD,Store read after unsafe call
9988,9988: SLOAD,Store read after unsafe call
10053,10053: SLOAD,Store read after unsafe call
10849,10849: SLOAD,Store read after unsafe call
10868,10868: SSTORE,Store write after unsafe call
10936,10936: SLOAD,Store read after unsafe call
11015,11015: SSTORE,Store write after unsafe call
11526,11526: SSTORE,Store write after unsafe call
11993,11993: SLOAD,Store read after unsafe call
12073,12073: SSTORE,Store write after unsafe call
12141,12141: SLOAD,Store read after unsafe call
12220,12220: SSTORE,Store write after unsafe call
13090,13090: SLOAD,Store read after unsafe call
13170,13170: SSTORE,Store write after unsafe call
13178,13178: SLOAD,Store read after unsafe call
13197,13197: SSTORE,Store write after unsafe call
13371,13371: SLOAD,Store read after unsafe call
13389,13389: SLOAD,Store read after unsafe call
13411,13411: SLOAD,Store read after unsafe call
13422,13422: SLOAD,Store read after unsafe call
