offset,opcode,detection
6793,6793: SLOAD,Store read after unsafe call
6806,6806: SSTORE,Store write after unsafe call
6978,6978: SLOAD,Store read after unsafe call
7041,7041: SLOAD,Store read after unsafe call
7055,7055: SSTORE,Store write after unsafe call
7916,7916: SLOAD,Store read after unsafe call
7930,7930: SSTORE,Store write after unsafe call
10314,10314: SLOAD,Store read after unsafe call
10450,10450: SLOAD,Store read after unsafe call
10583,10583: SSTORE,Store write after unsafe call
10788,10788: SLOAD,Store read after unsafe call
11686,11686: SLOAD,Store read after unsafe call
11699,11699: SSTORE,Store write after unsafe call
11871,11871: SLOAD,Store read after unsafe call
11934,11934: SLOAD,Store read after unsafe call
11948,11948: SSTORE,Store write after unsafe call
14663,14663: SSTORE,Store write after unsafe call
14679,14679: SLOAD,Store read after unsafe call
14834,14834: SSTORE,Store write after unsafe call
14977,14977: SLOAD,Store read after unsafe call
15049,15049: SSTORE,Store write after unsafe call
15168,15168: SLOAD,Store read after unsafe call
15221,15221: SLOAD,Store read after unsafe call
15235,15235: SSTORE,Store write after unsafe call
16540,16540: SLOAD,Store read after unsafe call
16556,16556: SLOAD,Store read after unsafe call
16678,16678: SLOAD,Store read after unsafe call
16900,16900: SLOAD,Store read after unsafe call
16975,16975: SSTORE,Store write after unsafe call
17138,17138: SLOAD,Store read after unsafe call
17152,17152: SSTORE,Store write after unsafe call
18211,18211: SLOAD,Store read after unsafe call
18224,18224: SSTORE,Store write after unsafe call
18372,18372: SLOAD,Store read after unsafe call
18386,18386: SSTORE,Store write after unsafe call
18804,18804: SSTORE,Store write after unsafe call
19010,19010: SLOAD,Store read after unsafe call
20289,20289: SLOAD,Store read after unsafe call
20441,20441: SLOAD,Store read after unsafe call
20574,20574: SLOAD,Store read after unsafe call
20587,20587: SSTORE,Store write after unsafe call
20596,20596: SLOAD,Store read after unsafe call
20609,20609: SSTORE,Store write after unsafe call
20636,20636: SLOAD,Store read after unsafe call
21181,21181: SLOAD,Store read after unsafe call
21195,21195: SSTORE,Store write after unsafe call
22366,22366: SLOAD,Store read after unsafe call
22518,22518: SLOAD,Store read after unsafe call
22651,22651: SLOAD,Store read after unsafe call
22664,22664: SSTORE,Store write after unsafe call
22673,22673: SLOAD,Store read after unsafe call
22686,22686: SSTORE,Store write after unsafe call
22713,22713: SLOAD,Store read after unsafe call
23258,23258: SLOAD,Store read after unsafe call
23272,23272: SSTORE,Store write after unsafe call
26911,26911: SLOAD,Store read after unsafe call
26965,26965: SLOAD,Store read after unsafe call
26981,26981: SLOAD,Store read after unsafe call
27103,27103: SLOAD,Store read after unsafe call
27325,27325: SLOAD,Store read after unsafe call
27400,27400: SSTORE,Store write after unsafe call
27546,27546: SLOAD,Store read after unsafe call
27560,27560: SSTORE,Store write after unsafe call
29491,29491: SLOAD,Store read after unsafe call
29501,29501: SSTORE,Store write after unsafe call
29591,29591: SLOAD,Store read after unsafe call
29647,29647: SLOAD,Store read after unsafe call
29726,29726: SSTORE,Store write after unsafe call
29737,29737: SLOAD,Store read after unsafe call
29852,29852: SSTORE,Store write after unsafe call
29857,29857: SLOAD,Store read after unsafe call
30036,30036: SLOAD,Store read after unsafe call
30081,30081: SSTORE,Store write after unsafe call
30114,30114: SLOAD,Store read after unsafe call
30165,30165: SLOAD,Store read after unsafe call
30179,30179: SSTORE,Store write after unsafe call
30587,30587: SSTORE,Store write after unsafe call
30792,30792: SLOAD,Store read after unsafe call
32948,32948: SLOAD,Store read after unsafe call
32961,32961: SSTORE,Store write after unsafe call
33109,33109: SLOAD,Store read after unsafe call
33123,33123: SSTORE,Store write after unsafe call
35033,35033: SLOAD,Store read after unsafe call
35215,35215: SLOAD,Store read after unsafe call
35286,35286: SSTORE,Store write after unsafe call
35353,35353: SLOAD,Store read after unsafe call
35424,35424: SSTORE,Store write after unsafe call
36981,36981: SLOAD,Store read after unsafe call
37163,37163: SLOAD,Store read after unsafe call
37234,37234: SSTORE,Store write after unsafe call
37241,37241: SLOAD,Store read after unsafe call
37252,37252: SSTORE,Store write after unsafe call
37439,37439: SLOAD,Store read after unsafe call
37510,37510: SSTORE,Store write after unsafe call
37517,37517: SLOAD,Store read after unsafe call
37528,37528: SSTORE,Store write after unsafe call
