offset,opcode,detection
4796,4796: SLOAD,Store read after unsafe call
4810,4810: SSTORE,Store write after unsafe call
6366,6366: SLOAD,Store read after unsafe call
6380,6380: SSTORE,Store write after unsafe call
6762,6762: SLOAD,Store read after unsafe call
6776,6776: SSTORE,Store write after unsafe call
6951,6951: SLOAD,Store read after unsafe call
7454,7454: SLOAD,Store read after unsafe call
7468,7468: SSTORE,Store write after unsafe call
7862,7862: SLOAD,Store read after unsafe call
7876,7876: SSTORE,Store write after unsafe call
9366,9366: SSTORE,Store write after unsafe call
9562,9562: SLOAD,Store read after unsafe call
9576,9576: SSTORE,Store write after unsafe call
9604,9604: SLOAD,Store read after unsafe call
9677,9677: SLOAD,Store read after unsafe call
10468,10468: SLOAD,Store read after unsafe call
10682,10682: SSTORE,Store write after unsafe call
10991,10991: SLOAD,Store read after unsafe call
11005,11005: SSTORE,Store write after unsafe call
11183,11183: SLOAD,Store read after unsafe call
11502,11502: SLOAD,Store read after unsafe call
11516,11516: SSTORE,Store write after unsafe call
11914,11914: SLOAD,Store read after unsafe call
12049,12049: SLOAD,Store read after unsafe call
12063,12063: SSTORE,Store write after unsafe call
12221,12221: SLOAD,Store read after unsafe call
12235,12235: SSTORE,Store write after unsafe call
13819,13819: SLOAD,Store read after unsafe call
14191,14191: SLOAD,Store read after unsafe call
14205,14205: SSTORE,Store write after unsafe call
14338,14338: SLOAD,Store read after unsafe call
14661,14661: SLOAD,Store read after unsafe call
15068,15068: SLOAD,Store read after unsafe call
15300,15300: SLOAD,Store read after unsafe call
15547,15547: SSTORE,Store write after unsafe call
15816,15816: SLOAD,Store read after unsafe call
15832,15832: SLOAD,Store read after unsafe call
15876,15876: SLOAD,Store read after unsafe call
16688,16688: SLOAD,Store read after unsafe call
16837,16837: SLOAD,Store read after unsafe call
16973,16973: SLOAD,Store read after unsafe call
17177,17177: SSTORE,Store write after unsafe call
17345,17345: SSTORE,Store write after unsafe call
17893,17893: SLOAD,Store read after unsafe call
17907,17907: SSTORE,Store write after unsafe call
17922,17922: SLOAD,Store read after unsafe call
18032,18032: SLOAD,Store read after unsafe call
18095,18095: SLOAD,Store read after unsafe call
18132,18132: SLOAD,Store read after unsafe call
18226,18226: SSTORE,Store write after unsafe call
18236,18236: SLOAD,Store read after unsafe call
18310,18310: SLOAD,Store read after unsafe call
18687,18687: SLOAD,Store read after unsafe call
18701,18701: SSTORE,Store write after unsafe call
18788,18788: SLOAD,Store read after unsafe call
18824,18824: SLOAD,Store read after unsafe call
18895,18895: SLOAD,Store read after unsafe call
18991,18991: SLOAD,Store read after unsafe call
19101,19101: SLOAD,Store read after unsafe call
19132,19132: SLOAD,Store read after unsafe call
19417,19417: SLOAD,Store read after unsafe call
19470,19470: SSTORE,Store write after unsafe call
20530,20530: SLOAD,Store read after unsafe call
20544,20544: SSTORE,Store write after unsafe call
20562,20562: SLOAD,Store read after unsafe call
21115,21115: SLOAD,Store read after unsafe call
21261,21261: SLOAD,Store read after unsafe call
21475,21475: SSTORE,Store write after unsafe call
21848,21848: SLOAD,Store read after unsafe call
21862,21862: SSTORE,Store write after unsafe call
22113,22113: SLOAD,Store read after unsafe call
22127,22127: SSTORE,Store write after unsafe call
22387,22387: SLOAD,Store read after unsafe call
22401,22401: SSTORE,Store write after unsafe call
22417,22417: SLOAD,Store read after unsafe call
22526,22526: SLOAD,Store read after unsafe call
22590,22590: SLOAD,Store read after unsafe call
22598,22598: SSTORE,Store write after unsafe call
23418,23418: SLOAD,Store read after unsafe call
23793,23793: SLOAD,Store read after unsafe call
23900,23900: SLOAD,Store read after unsafe call
24308,24308: SLOAD,Store read after unsafe call
24551,24551: SLOAD,Store read after unsafe call
24631,24631: SSTORE,Store write after unsafe call
25473,25473: SLOAD,Store read after unsafe call
25794,25794: SLOAD,Store read after unsafe call
25826,25826: SLOAD,Store read after unsafe call
26014,26014: SLOAD,Store read after unsafe call
26271,26271: SSTORE,Store write after unsafe call
26506,26506: SLOAD,Store read after unsafe call
26932,26932: SLOAD,Store read after unsafe call
27359,27359: SLOAD,Store read after unsafe call
27827,27827: SLOAD,Store read after unsafe call
29226,29226: SLOAD,Store read after unsafe call
29542,29542: SLOAD,Store read after unsafe call
29860,29860: SLOAD,Store read after unsafe call
30065,30065: SLOAD,Store read after unsafe call
30145,30145: SSTORE,Store write after unsafe call
30447,30447: SLOAD,Store read after unsafe call
30504,30504: SSTORE,Store write after unsafe call
30517,30517: SSTORE,Store write after unsafe call
30539,30539: SSTORE,Store write after unsafe call
30901,30901: SSTORE,Store write after unsafe call
