offset,opcode,detection
1648,1648: SLOAD,Store read after unsafe call
1824,1824: SLOAD,Store read after unsafe call
1965,1965: SLOAD,Store read after unsafe call
1978,1978: SLOAD,Store read after unsafe call
2132,2132: SLOAD,Store read after unsafe call
2271,2271: SLOAD,Store read after unsafe call
2287,2287: SSTORE,Store write after unsafe call
2368,2368: SLOAD,Store read after unsafe call
2384,2384: SSTORE,Store write after unsafe call
2521,2521: SLOAD,Store read after unsafe call
2537,2537: SSTORE,Store write after unsafe call
2607,2607: SLOAD,Store read after unsafe call
2623,2623: SSTORE,Store write after unsafe call
2693,2693: SLOAD,Store read after unsafe call
2709,2709: SSTORE,Store write after unsafe call
2778,2778: SLOAD,Store read after unsafe call
2865,2865: SLOAD,Store read after unsafe call
2881,2881: SSTORE,Store write after unsafe call
3000,3000: SLOAD,Store read after unsafe call
3158,3158: SSTORE,Store write after unsafe call
3231,3231: SLOAD,Store read after unsafe call
3247,3247: SSTORE,Store write after unsafe call
3345,3345: SLOAD,Store read after unsafe call
3537,3537: SLOAD,Store read after unsafe call
3606,3606: SLOAD,Store read after unsafe call
3818,3818: SLOAD,Store read after unsafe call
3871,3871: SSTORE,Store write after unsafe call
4138,4138: SLOAD,Store read after unsafe call
4337,4337: SSTORE,Store write after unsafe call
4349,4349: SLOAD,Store read after unsafe call
4515,4515: SLOAD,Store read after unsafe call
4529,4529: SSTORE,Store write after unsafe call
4599,4599: SLOAD,Store read after unsafe call
4750,4750: SLOAD,Store read after unsafe call
4762,4762: SLOAD,Store read after unsafe call
4787,4787: SLOAD,Store read after unsafe call
4797,4797: SLOAD,Store read after unsafe call
4820,4820: SLOAD,Store read after unsafe call
4955,4955: SLOAD,Store read after unsafe call
5077,5077: SLOAD,Store read after unsafe call
5661,5661: SLOAD,Store read after unsafe call
5680,5680: SLOAD,Store read after unsafe call
5819,5819: SSTORE,Store write after unsafe call
5902,5902: SLOAD,Store read after unsafe call
5918,5918: SSTORE,Store write after unsafe call
6001,6001: SLOAD,Store read after unsafe call
6088,6088: SLOAD,Store read after unsafe call
6104,6104: SSTORE,Store write after unsafe call
6131,6131: SLOAD,Store read after unsafe call
6225,6225: SLOAD,Store read after unsafe call
6317,6317: SLOAD,Store read after unsafe call
6385,6385: SSTORE,Store write after unsafe call
6459,6459: SLOAD,Store read after unsafe call
6475,6475: SSTORE,Store write after unsafe call
6556,6556: SLOAD,Store read after unsafe call
6572,6572: SSTORE,Store write after unsafe call
6642,6642: SLOAD,Store read after unsafe call
6658,6658: SSTORE,Store write after unsafe call
6728,6728: SLOAD,Store read after unsafe call
6744,6744: SSTORE,Store write after unsafe call
6842,6842: SLOAD,Store read after unsafe call
7077,7077: SLOAD,Store read after unsafe call
7491,7491: SLOAD,Store read after unsafe call
7605,7605: SLOAD,Store read after unsafe call
7658,7658: SSTORE,Store write after unsafe call
7743,7743: SLOAD,Store read after unsafe call
8227,8227: SLOAD,Store read after unsafe call
8362,8362: SLOAD,Store read after unsafe call
8438,8438: SSTORE,Store write after unsafe call
8536,8536: SLOAD,Store read after unsafe call
8641,8641: SLOAD,Store read after unsafe call
8717,8717: SLOAD,Store read after unsafe call
8895,8895: SSTORE,Store write after unsafe call
8932,8932: SLOAD,Store read after unsafe call
9332,9332: SLOAD,Store read after unsafe call
9682,9682: SLOAD,Store read after unsafe call
9833,9833: SLOAD,Store read after unsafe call
9923,9923: SLOAD,Store read after unsafe call
9938,9938: SSTORE,Store write after unsafe call
9957,9957: SLOAD,Store read after unsafe call
9971,9971: SSTORE,Store write after unsafe call
10000,10000: SLOAD,Store read after unsafe call
10053,10053: SSTORE,Store write after unsafe call
10071,10071: SLOAD,Store read after unsafe call
10085,10085: SSTORE,Store write after unsafe call
10554,10554: SLOAD,Store read after unsafe call
10570,10570: SSTORE,Store write after unsafe call
10584,10584: SLOAD,Store read after unsafe call
10745,10745: SLOAD,Store read after unsafe call
11100,11100: SSTORE,Store write after unsafe call
11231,11231: SLOAD,Store read after unsafe call
11250,11250: SLOAD,Store read after unsafe call
11266,11266: SSTORE,Store write after unsafe call
11397,11397: SLOAD,Store read after unsafe call
11472,11472: SSTORE,Store write after unsafe call
11488,11488: SLOAD,Store read after unsafe call
11526,11526: SSTORE,Store write after unsafe call
11659,11659: SLOAD,Store read after unsafe call
11735,11735: SSTORE,Store write after unsafe call
11785,11785: SLOAD,Store read after unsafe call
11801,11801: SSTORE,Store write after unsafe call
11808,11808: SLOAD,Store read after unsafe call
11825,11825: SSTORE,Store write after unsafe call
11917,11917: SLOAD,Store read after unsafe call
12495,12495: SLOAD,Store read after unsafe call
12571,12571: SSTORE,Store write after unsafe call
12669,12669: SLOAD,Store read after unsafe call
12839,12839: SLOAD,Store read after unsafe call
12908,12908: SSTORE,Store write after unsafe call
13645,13645: SLOAD,Store read after unsafe call
13746,13746: SLOAD,Store read after unsafe call
13830,13830: SSTORE,Store write after unsafe call
13856,13856: SLOAD,Store read after unsafe call
13870,13870: SSTORE,Store write after unsafe call
14172,14172: SLOAD,Store read after unsafe call
14319,14319: SLOAD,Store read after unsafe call
14354,14354: SLOAD,Store read after unsafe call
14685,14685: SLOAD,Store read after unsafe call
14710,14710: SLOAD,Store read after unsafe call
14799,14799: SLOAD,Store read after unsafe call
14852,14852: SSTORE,Store write after unsafe call
14967,14967: SLOAD,Store read after unsafe call
14981,14981: SSTORE,Store write after unsafe call
15087,15087: SLOAD,Store read after unsafe call
15176,15176: SLOAD,Store read after unsafe call
15546,15546: SLOAD,Store read after unsafe call
15643,15643: SLOAD,Store read after unsafe call
15728,15728: SLOAD,Store read after unsafe call
15742,15742: SSTORE,Store write after unsafe call
