offset,opcode,detection
2559,2559: SLOAD,Store read after unsafe call
2623,2623: SSTORE,Store write after unsafe call
3049,3049: SLOAD,Store read after unsafe call
3269,3269: SLOAD,Store read after unsafe call
3352,3352: SLOAD,Store read after unsafe call
3428,3428: SLOAD,Store read after unsafe call
3444,3444: SSTORE,Store write after unsafe call
3448,3448: SLOAD,Store read after unsafe call
3463,3463: SLOAD,Store read after unsafe call
3471,3471: SLOAD,Store read after unsafe call
3487,3487: SSTORE,Store write after unsafe call
3708,3708: SLOAD,Store read after unsafe call
3860,3860: SLOAD,Store read after unsafe call
4117,4117: SLOAD,Store read after unsafe call
4248,4248: SLOAD,Store read after unsafe call
4293,4293: SSTORE,Store write after unsafe call
4334,4334: SLOAD,Store read after unsafe call
4387,4387: SSTORE,Store write after unsafe call
4586,4586: SLOAD,Store read after unsafe call
4660,4660: SLOAD,Store read after unsafe call
4734,4734: SLOAD,Store read after unsafe call
4766,4766: SSTORE,Store write after unsafe call
4849,4849: SLOAD,Store read after unsafe call
5075,5075: SLOAD,Store read after unsafe call
5386,5386: SLOAD,Store read after unsafe call
5450,5450: SLOAD,Store read after unsafe call
5662,5662: SLOAD,Store read after unsafe call
5726,5726: SLOAD,Store read after unsafe call
5880,5880: SLOAD,Store read after unsafe call
5944,5944: SLOAD,Store read after unsafe call
5959,5959: SLOAD,Store read after unsafe call
6027,6027: SLOAD,Store read after unsafe call
6043,6043: SSTORE,Store write after unsafe call
6297,6297: SLOAD,Store read after unsafe call
6547,6547: SLOAD,Store read after unsafe call
6611,6611: SLOAD,Store read after unsafe call
6767,6767: SLOAD,Store read after unsafe call
6783,6783: SSTORE,Store write after unsafe call
6792,6792: SLOAD,Store read after unsafe call
6808,6808: SSTORE,Store write after unsafe call
7551,7551: SLOAD,Store read after unsafe call
7565,7565: SSTORE,Store write after unsafe call
7684,7684: SLOAD,Store read after unsafe call
7917,7917: SLOAD,Store read after unsafe call
7981,7981: SLOAD,Store read after unsafe call
8071,8071: SLOAD,Store read after unsafe call
8135,8135: SLOAD,Store read after unsafe call
8198,8198: SLOAD,Store read after unsafe call
8416,8416: SLOAD,Store read after unsafe call
8815,8815: SLOAD,Store read after unsafe call
8889,8889: SLOAD,Store read after unsafe call
9084,9084: SLOAD,Store read after unsafe call
9158,9158: SLOAD,Store read after unsafe call
9397,9397: SLOAD,Store read after unsafe call
9471,9471: SLOAD,Store read after unsafe call
9706,9706: SLOAD,Store read after unsafe call
10016,10016: SLOAD,Store read after unsafe call
10090,10090: SLOAD,Store read after unsafe call
10244,10244: SLOAD,Store read after unsafe call
10334,10334: SLOAD,Store read after unsafe call
10408,10408: SLOAD,Store read after unsafe call
10553,10553: SLOAD,Store read after unsafe call
10627,10627: SLOAD,Store read after unsafe call
11223,11223: SLOAD,Store read after unsafe call
11926,11926: SLOAD,Store read after unsafe call
12416,12416: SLOAD,Store read after unsafe call
12432,12432: SSTORE,Store write after unsafe call
12441,12441: SLOAD,Store read after unsafe call
12457,12457: SSTORE,Store write after unsafe call
12764,12764: SLOAD,Store read after unsafe call
12864,12864: SLOAD,Store read after unsafe call
12938,12938: SLOAD,Store read after unsafe call
13069,13069: SLOAD,Store read after unsafe call
13143,13143: SLOAD,Store read after unsafe call
13318,13318: SLOAD,Store read after unsafe call
13392,13392: SLOAD,Store read after unsafe call
13627,13627: SLOAD,Store read after unsafe call
13937,13937: SLOAD,Store read after unsafe call
14011,14011: SLOAD,Store read after unsafe call
14165,14165: SLOAD,Store read after unsafe call
14256,14256: SLOAD,Store read after unsafe call
14330,14330: SLOAD,Store read after unsafe call
14476,14476: SLOAD,Store read after unsafe call
14550,14550: SLOAD,Store read after unsafe call
15220,15220: SLOAD,Store read after unsafe call
15550,15550: SLOAD,Store read after unsafe call
15571,15571: SLOAD,Store read after unsafe call
15645,15645: SLOAD,Store read after unsafe call
16255,16255: SLOAD,Store read after unsafe call
16367,16367: SLOAD,Store read after unsafe call
16441,16441: SLOAD,Store read after unsafe call
16654,16654: SLOAD,Store read after unsafe call
17084,17084: SLOAD,Store read after unsafe call
17794,17794: SLOAD,Store read after unsafe call
17865,17865: SSTORE,Store write after unsafe call
17999,17999: SLOAD,Store read after unsafe call
18011,18011: SLOAD,Store read after unsafe call
18041,18041: SLOAD,Store read after unsafe call
18059,18059: SLOAD,Store read after unsafe call
18168,18168: SLOAD,Store read after unsafe call
18245,18245: SLOAD,Store read after unsafe call
18352,18352: SLOAD,Store read after unsafe call
18389,18389: SLOAD,Store read after unsafe call
18403,18403: SLOAD,Store read after unsafe call
18476,18476: SLOAD,Store read after unsafe call
18548,18548: SLOAD,Store read after unsafe call
18553,18553: SSTORE,Store write after unsafe call
18678,18678: SSTORE,Store write after unsafe call
18686,18686: SLOAD,Store read after unsafe call
18767,18767: SSTORE,Store write after unsafe call
18795,18795: SLOAD,Store read after unsafe call
18826,18826: SSTORE,Store write after unsafe call
19217,19217: SSTORE,Store write after unsafe call
19514,19514: SLOAD,Store read after unsafe call
19652,19652: SSTORE,Store write after unsafe call
19661,19661: SLOAD,Store read after unsafe call
19677,19677: SSTORE,Store write after unsafe call
20098,20098: SLOAD,Store read after unsafe call
20236,20236: SSTORE,Store write after unsafe call
20306,20306: SLOAD,Store read after unsafe call
20322,20322: SSTORE,Store write after unsafe call
20707,20707: SLOAD,Store read after unsafe call
20723,20723: SSTORE,Store write after unsafe call
20793,20793: SLOAD,Store read after unsafe call
20809,20809: SSTORE,Store write after unsafe call
20976,20976: SLOAD,Store read after unsafe call
21029,21029: SSTORE,Store write after unsafe call
21297,21297: SLOAD,Store read after unsafe call
21371,21371: SLOAD,Store read after unsafe call
21628,21628: SLOAD,Store read after unsafe call
21834,21834: SLOAD,Store read after unsafe call
21910,21910: SLOAD,Store read after unsafe call
21979,21979: SLOAD,Store read after unsafe call
21995,21995: SSTORE,Store write after unsafe call
22004,22004: SLOAD,Store read after unsafe call
22020,22020: SSTORE,Store write after unsafe call
22813,22813: SSTORE,Store write after unsafe call
22883,22883: SLOAD,Store read after unsafe call
22886,22886: SSTORE,Store write after unsafe call
22929,22929: SSTORE,Store write after unsafe call
22965,22965: SLOAD,Store read after unsafe call
22969,22969: SSTORE,Store write after unsafe call
22998,22998: SLOAD,Store read after unsafe call
23001,23001: SSTORE,Store write after unsafe call
23039,23039: SSTORE,Store write after unsafe call
23098,23098: SLOAD,Store read after unsafe call
23100,23100: SSTORE,Store write after unsafe call
23152,23152: SSTORE,Store write after unsafe call
23170,23170: SSTORE,Store write after unsafe call
