offset,opcode,detection
2433,2433: SLOAD,Store read after unsafe call
2533,2533: SLOAD,Store read after unsafe call
2697,2697: SLOAD,Store read after unsafe call
2806,2806: SLOAD,Store read after unsafe call
2843,2843: SLOAD,Store read after unsafe call
2918,2918: SSTORE,Store write after unsafe call
2978,2978: SLOAD,Store read after unsafe call
3014,3014: SLOAD,Store read after unsafe call
4193,4193: SLOAD,Store read after unsafe call
4222,4222: SLOAD,Store read after unsafe call
4330,4330: SLOAD,Store read after unsafe call
4344,4344: SSTORE,Store write after unsafe call
4622,4622: SLOAD,Store read after unsafe call
5137,5137: SLOAD,Store read after unsafe call
5158,5158: SLOAD,Store read after unsafe call
5961,5961: SSTORE,Store write after unsafe call
6064,6064: SLOAD,Store read after unsafe call
7155,7155: SLOAD,Store read after unsafe call
7204,7204: SLOAD,Store read after unsafe call
7319,7319: SLOAD,Store read after unsafe call
7486,7486: SLOAD,Store read after unsafe call
7753,7753: SLOAD,Store read after unsafe call
7774,7774: SSTORE,Store write after unsafe call
7794,7794: SLOAD,Store read after unsafe call
7828,7828: SLOAD,Store read after unsafe call
7847,7847: SSTORE,Store write after unsafe call
7855,7855: SLOAD,Store read after unsafe call
7874,7874: SSTORE,Store write after unsafe call
7981,7981: SLOAD,Store read after unsafe call
9673,9673: SLOAD,Store read after unsafe call
9870,9870: SLOAD,Store read after unsafe call
9884,9884: SSTORE,Store write after unsafe call
9988,9988: SLOAD,Store read after unsafe call
12691,12691: SLOAD,Store read after unsafe call
12804,12804: SLOAD,Store read after unsafe call
12971,12971: SLOAD,Store read after unsafe call
13238,13238: SLOAD,Store read after unsafe call
13252,13252: SSTORE,Store write after unsafe call
13358,13358: SLOAD,Store read after unsafe call
14111,14111: SLOAD,Store read after unsafe call
14231,14231: SSTORE,Store write after unsafe call
14304,14304: SLOAD,Store read after unsafe call
14450,14450: SLOAD,Store read after unsafe call
15087,15087: SLOAD,Store read after unsafe call
15124,15124: SSTORE,Store write after unsafe call
15203,15203: SLOAD,Store read after unsafe call
15212,15212: SSTORE,Store write after unsafe call
15315,15315: SLOAD,Store read after unsafe call
15930,15930: SLOAD,Store read after unsafe call
